Index,Name,Year,IMDB,Critic_score,Genre,  G_C,N_W_Award,Filmfare_AWARD,Budget,Box_office_collection,Time_duration
1,Samrat Prithviraj,2022,6.1,3,"Action, Drama, History",UA,0,0,100,,
2,Tanhaji,2020,7.5,4,"Action, Biography,Drama, History",UA,2,2,125,367,135
3,Shershaah,2021,8.3,4,"Action, Biography,Drama, War",UA,1,3,55,NA,135
4,Badhaai Do,2022,7,3.5,"Crime, Drama",UA,0,1,35,28.33,147
5,Dasvi,2022,7.4,3,"Comedy, Drama",UA,0,0,30,NA,125
6,Mimi,2021,7.8,3.5,"Comedy, Drama",UA,1,1,30,NA,133
7,Jhund,2022,7.4,3.5,"Biography, Drama, Sport",UA,0,1,22,20,176
8,Panga,2020,6.8,3.5,"Drama, sport",UA,0,0,30,41,131
9,Bhangra Paa Le,2020,6.3,2.5,"Comedy, Drama, Music",UA,0,0,20,1.5,131
10,Suraj Pe Mangal Bhari,2020,5.9,2.5,Comedy,UA,0,0,30,4,139
11,Chhalaang,2020,6.7,3,"Comedy, Drama, Sport",UA,0,0,25,NA,136
12,AK vs AK,2020,6.9,3.5,"Dark Comedy, Action, Crime, Drama, Thriller",NA,0,0,20,NA,108
13,Torbaaz,2020,5.1,2,"Action, Drama, Sport, Thriller",UA,0,0,25,NA,133
14,Dil Bechara,2020,8.3,3,"Comedy, Drama, Romance",UA,1,2,25,NA,101
15,Lootcase,2020,7.5,3.5,"Dark Comedy, Crime, Comedy",UA,0,0,20,NA,132
16,Raat Akeli Hai,2020,7.2,3.5,"Crime, Drama, Mystry, Thriller",NA,0,0,20,NA,149
17,Class of 83,2020,5.8,2.5,"Action, Crime, Drama, Thriller",NA,0,0,18,NA,98
18,Court Martial,2020,7,3,Drama,NA,0,0,NA,NA,137
19,Bulbbul,2020,6.6,4,"Drama, Horror, Mystry",NA,0,0,30,NA,94
20,Gunjan Saxena: The Kargil Girl,2020,5.5,3.5,"Action, Biography, drama, War",UA,1,3,40,NA,112
21,Angrezi Medium,2020,7.2,3,"Comedy, Drama",UA,0,1,36,13,145
22,Ludo,2020,7.6,4,"Dark Comedy, Action, Crime, Drama, Comedy",UA,0,1,24,NA,150
